age,gender,education,job,experience_years,salary,hours_per_week,satisfaction_score,performance_score,department
23,Male,Bachelor,Engineer,1,42000,40,6.5,7.2,IT
45,Female,Master,Manager,20,95000,50,8.1,9.0,HR
31,Male,PhD,Researcher,7,78000,45,7.8,8.5,R&D
27,Female,Bachelor,Analyst,4,55000,42,6.9,7.5,Finance
52,Male,Master,Director,28,130000,55,9.0,9.5,Operations
34,Female,Bachelor,Designer,9,61000,40,7.2,7.8,Marketing
29,Male,Bachelor,Developer,5,67000,44,7.0,8.0,IT
41,Female,Master,HR Specialist,16,72000,38,8.5,8.2,HR
38,Male,PhD,Data Scientist,13,98000,46,8.9,9.2,R&D
24,Female,Bachelor,Accountant,2,47000,40,6.0,6.8,Finance
55,Male,Master,VP,30,145000,58,9.2,9.7,Operations
36,Female,Bachelor,Copywriter,11,58000,40,7.5,7.6,Marketing
30,Male,Bachelor,Developer,6,71000,43,7.3,8.1,IT
48,Female,PhD,Research Lead,22,112000,48,9.1,9.4,R&D
26,Male,Bachelor,Analyst,3,52000,41,6.5,7.0,Finance
33,Female,Master,Project Manager,8,84000,47,8.0,8.7,Operations
22,Male,Bachelor,Intern,0,28000,35,5.5,6.0,IT
43,Female,Master,Marketing Manager,18,91000,50,8.6,8.9,Marketing
37,Male,PhD,Scientist,12,95000,45,8.7,9.0,R&D
50,Female,Bachelor,Senior Accountant,25,82000,42,8.3,8.5,Finance
28,Male,Master,Business Analyst,4,64000,40,7.1,7.9,Finance
46,Female,Bachelor,HR Manager,21,88000,48,8.8,9.1,HR
32,Male,Bachelor,Frontend Dev,7,73000,44,7.4,8.2,IT
39,Female,Master,Product Manager,14,97000,50,8.5,9.0,Operations
25,Male,Bachelor,Junior Designer,2,43000,40,6.2,6.9,Marketing
54,Female,PhD,Chief Scientist,29,138000,52,9.3,9.8,R&D
35,Male,Master,Team Lead,10,86000,46,8.2,8.8,IT
42,Female,Bachelor,Recruiter,17,67000,40,7.9,8.0,HR
27,Male,Bachelor,Content Writer,3,44000,38,6.3,7.0,Marketing
49,Female,Master,Finance Director,24,118000,52,9.0,9.3,Finance
31,Male,PhD,ML Engineer,6,92000,45,8.1,8.9,R&D
36,Female,Bachelor,Office Manager,11,55000,40,7.0,7.4,Operations
23,Male,Bachelor,Support Engineer,1,38000,40,5.8,6.5,IT
44,Female,Master,Senior Manager,19,102000,52,8.9,9.2,HR
29,Male,Bachelor,QA Engineer,5,60000,42,7.0,7.7,IT
52,Female,PhD,Professor,27,105000,40,9.0,9.5,R&D
38,Male,Master,Operations Lead,13,89000,50,8.4,8.8,Operations
26,Female,Bachelor,Social Media Mgr,2,46000,40,6.4,7.1,Marketing
33,Male,Bachelor,BI Analyst,8,68000,43,7.5,8.0,Finance
47,Female,Master,HR Director,22,108000,50,9.1,9.4,HR
30,Male,PhD,Research Engineer,5,88000,44,8.0,8.7,R&D
41,Female,Bachelor,Senior Designer,16,74000,42,8.2,8.4,Marketing
24,Male,Bachelor,Data Analyst,2,50000,40,6.6,7.2,Finance
56,Female,Master,CEO,32,180000,60,9.5,9.9,Operations
34,Male,Bachelor,Backend Dev,9,76000,45,7.6,8.3,IT
43,Female,PhD,Senior Researcher,18,115000,48,9.0,9.4,R&D
28,Male,Master,Financial Analyst,4,66000,42,7.2,8.0,Finance
37,Female,Bachelor,Brand Manager,12,79000,45,8.0,8.5,Marketing
22,Male,Bachelor,IT Support,0,32000,40,5.6,6.2,IT
51,Female,Master,Legal Advisor,26,122000,50,9.2,9.6,Operations
29,Male,Bachelor,DevOps Engineer,5,72000,44,7.4,8.1,IT
45,Female,PhD,Lead Scientist,20,120000,48,9.1,9.5,R&D
32,Male,Master,Strategy Analyst,7,80000,45,7.8,8.6,Finance
40,Female,Bachelor,Training Manager,15,77000,42,8.3,8.6,HR
26,Male,Bachelor,Web Developer,3,57000,40,6.8,7.5,IT
48,Female,Master,COO,23,155000,58,9.3,9.7,Operations
35,Male,Bachelor,SEO Specialist,10,61000,40,7.3,7.8,Marketing
27,Female,PhD,Junior Researcher,2,54000,42,6.9,7.6,R&D
53,Male,Master,Senior Director,28,140000,55,9.2,9.6,Operations
31,Female,Bachelor,Payroll Specialist,6,58000,40,7.1,7.7,HR
38,Male,Bachelor,Network Engineer,13,75000,44,7.7,8.2,IT
44,Female,Master,Product Director,19,105000,52,8.8,9.2,Operations
25,Male,Bachelor,Marketing Exec,1,41000,40,6.1,6.7,Marketing
50,Female,PhD,Principal Scientist,25,128000,48,9.2,9.6,R&D
33,Male,Master,Risk Analyst,8,77000,44,7.9,8.4,Finance
42,Female,Bachelor,Office Admin,17,52000,40,7.5,7.8,Operations
28,Male,Bachelor,Mobile Developer,4,68000,43,7.2,8.0,IT
36,Female,Master,Senior HR,11,82000,46,8.4,8.7,HR
23,Male,Bachelor,Graduate Trainee,0,30000,38,5.7,6.3,Finance
47,Female,PhD,Research Director,22,125000,50,9.2,9.5,R&D
30,Male,Bachelor,Data Engineer,5,70000,44,7.3,8.1,IT
40,Female,Master,Marketing Director,15,99000,50,8.7,9.1,Marketing
55,Male,Bachelor,Senior Accountant,30,90000,42,8.5,8.8,Finance
34,Female,PhD,AI Researcher,9,101000,46,8.6,9.1,R&D
27,Male,Master,Risk Manager,3,69000,42,7.0,7.8,Finance
46,Female,Bachelor,Compliance Officer,21,83000,44,8.3,8.7,Operations
32,Male,Bachelor,Systems Analyst,7,66000,42,7.4,8.0,IT
39,Female,Master,Learning & Dev Mgr,14,86000,46,8.5,8.9,HR
24,Male,Bachelor,Junior Analyst,1,44000,40,6.2,6.8,Finance
51,Female,PhD,Tech Lead,26,116000,50,9.0,9.4,IT
29,Male,Bachelor,Cloud Engineer,4,74000,44,7.5,8.2,IT
43,Female,Master,Brand Director,18,103000,50,8.8,9.2,Marketing
37,Male,Bachelor,Data Analyst,12,72000,43,7.8,8.3,Finance
26,Female,Bachelor,Social Worker,2,40000,38,6.0,6.6,HR
54,Male,Master,Senior VP,29,148000,56,9.3,9.7,Operations
35,Female,PhD,Bioinformatician,10,96000,46,8.7,9.2,R&D
28,Male,Bachelor,IT Consultant,4,63000,42,7.1,7.8,IT
41,Female,Master,Compensation Mgr,16,85000,46,8.4,8.7,HR
33,Male,Bachelor,Full Stack Dev,8,78000,44,7.7,8.4,IT
49,Female,PhD,Science Director,24,130000,50,9.1,9.5,R&D
31,Male,Master,Audit Manager,6,81000,44,7.9,8.5,Finance
38,Female,Bachelor,Creative Director,13,87000,46,8.3,8.8,Marketing
25,Male,Bachelor,Junior Dev,2,48000,40,6.5,7.1,IT
52,Female,Master,CFO,27,160000,58,9.4,9.8,Finance
36,Male,Bachelor,Project Coordinator,11,64000,42,7.6,8.1,Operations
44,Female,PhD,Senior Data Sci,19,118000,48,9.0,9.4,R&D
